"","#","N","a","b","cp","d","g","h","NT"
"1","ExpM_cond1","100","0","0","0.14","0.3","0","0","1"
"2","ExpM_cond2","100","0","0","0.14","0.3","0","0.14","1"
"3","ExpM_cond3","100","0","0","0.14","0.3","0.14","0","1"
"4","ExpM_cond4","100","0","0","0.14","0.3","0.14","0.14","1"
"5","ExpM_cond5","100","0","0","0.14","0.5","0","0","1"
"6","ExpM_cond6","100","0","0","0.14","0.5","0","0.14","1"
"7","ExpM_cond7","100","0","0","0.14","0.5","0.14","0","1"
"8","ExpM_cond8","100","0","0","0.14","0.5","0.14","0.14","1"
"9","ExpM_cond9","100","0","0","0.14","0.8","0","0","1"
"10","ExpM_cond10","100","0","0","0.14","0.8","0","0.14","1"
"11","ExpM_cond11","100","0","0","0.14","0.8","0.14","0","1"
"12","ExpM_cond12","100","0","0","0.14","0.8","0.14","0.14","1"
"13","ExpM_cond13","100","0","0.14","0.14","0.3","0","0","1"
"14","ExpM_cond14","100","0","0.14","0.14","0.3","0","0.14","1"
"15","ExpM_cond15","100","0","0.14","0.14","0.3","0.14","0","1"
"16","ExpM_cond16","100","0","0.14","0.14","0.3","0.14","0.14","1"
"17","ExpM_cond17","100","0","0.14","0.14","0.5","0","0","1"
"18","ExpM_cond18","100","0","0.14","0.14","0.5","0","0.14","1"
"19","ExpM_cond19","100","0","0.14","0.14","0.5","0.14","0","1"
"20","ExpM_cond20","100","0","0.14","0.14","0.5","0.14","0.14","1"
"21","ExpM_cond21","100","0","0.14","0.14","0.8","0","0","1"
"22","ExpM_cond22","100","0","0.14","0.14","0.8","0","0.14","1"
"23","ExpM_cond23","100","0","0.14","0.14","0.8","0.14","0","1"
"24","ExpM_cond24","100","0","0.14","0.14","0.8","0.14","0.14","1"
"25","ExpM_cond25","100","0","0.39","0.14","0.3","0","0","1"
"26","ExpM_cond26","100","0","0.39","0.14","0.3","0","0.14","1"
"27","ExpM_cond27","100","0","0.39","0.14","0.3","0.14","0","1"
"28","ExpM_cond28","100","0","0.39","0.14","0.3","0.14","0.14","1"
"29","ExpM_cond29","100","0","0.39","0.14","0.5","0","0","1"
"30","ExpM_cond30","100","0","0.39","0.14","0.5","0","0.14","1"
"31","ExpM_cond31","100","0","0.39","0.14","0.5","0.14","0","1"
"32","ExpM_cond32","100","0","0.39","0.14","0.5","0.14","0.14","1"
"33","ExpM_cond33","100","0","0.39","0.14","0.8","0","0","1"
"34","ExpM_cond34","100","0","0.39","0.14","0.8","0","0.14","1"
"35","ExpM_cond35","100","0","0.39","0.14","0.8","0.14","0","1"
"36","ExpM_cond36","100","0","0.39","0.14","0.8","0.14","0.14","1"
"37","ExpM_cond37","100","0.14","0","0.14","0.3","0","0","1"
"38","ExpM_cond38","100","0.14","0","0.14","0.3","0","0.14","1"
"39","ExpM_cond39","100","0.14","0","0.14","0.3","0.14","0","1"
"40","ExpM_cond40","100","0.14","0","0.14","0.3","0.14","0.14","1"
"41","ExpM_cond41","100","0.14","0","0.14","0.5","0","0","1"
"42","ExpM_cond42","100","0.14","0","0.14","0.5","0","0.14","1"
"43","ExpM_cond43","100","0.14","0","0.14","0.5","0.14","0","1"
"44","ExpM_cond44","100","0.14","0","0.14","0.5","0.14","0.14","1"
"45","ExpM_cond45","100","0.14","0","0.14","0.8","0","0","1"
"46","ExpM_cond46","100","0.14","0","0.14","0.8","0","0.14","1"
"47","ExpM_cond47","100","0.14","0","0.14","0.8","0.14","0","1"
"48","ExpM_cond48","100","0.14","0","0.14","0.8","0.14","0.14","1"
"49","ExpM_cond49","100","0.14","0.14","0.14","0.3","0","0","1"
"50","ExpM_cond50","100","0.14","0.14","0.14","0.3","0","0.14","1"
"51","ExpM_cond51","100","0.14","0.14","0.14","0.3","0.14","0","1"
"52","ExpM_cond52","100","0.14","0.14","0.14","0.3","0.14","0.14","1"
"53","ExpM_cond53","100","0.14","0.14","0.14","0.5","0","0","1"
"54","ExpM_cond54","100","0.14","0.14","0.14","0.5","0","0.14","1"
"55","ExpM_cond55","100","0.14","0.14","0.14","0.5","0.14","0","1"
"56","ExpM_cond56","100","0.14","0.14","0.14","0.5","0.14","0.14","1"
"57","ExpM_cond57","100","0.14","0.14","0.14","0.8","0","0","1"
"58","ExpM_cond58","100","0.14","0.14","0.14","0.8","0","0.14","1"
"59","ExpM_cond59","100","0.14","0.14","0.14","0.8","0.14","0","1"
"60","ExpM_cond60","100","0.14","0.14","0.14","0.8","0.14","0.14","1"
"61","ExpM_cond61","100","0.14","0.39","0.14","0.3","0","0","1"
"62","ExpM_cond62","100","0.14","0.39","0.14","0.3","0","0.14","1"
"63","ExpM_cond63","100","0.14","0.39","0.14","0.3","0.14","0","1"
"64","ExpM_cond64","100","0.14","0.39","0.14","0.3","0.14","0.14","1"
"65","ExpM_cond65","100","0.14","0.39","0.14","0.5","0","0","1"
"66","ExpM_cond66","100","0.14","0.39","0.14","0.5","0","0.14","1"
"67","ExpM_cond67","100","0.14","0.39","0.14","0.5","0.14","0","1"
"68","ExpM_cond68","100","0.14","0.39","0.14","0.5","0.14","0.14","1"
"69","ExpM_cond69","100","0.14","0.39","0.14","0.8","0","0","1"
"70","ExpM_cond70","100","0.14","0.39","0.14","0.8","0","0.14","1"
"71","ExpM_cond71","100","0.14","0.39","0.14","0.8","0.14","0","1"
"72","ExpM_cond72","100","0.14","0.39","0.14","0.8","0.14","0.14","1"
"73","ExpM_cond73","100","0.39","0","0.14","0.3","0","0","1"
"74","ExpM_cond74","100","0.39","0","0.14","0.3","0","0.14","1"
"75","ExpM_cond75","100","0.39","0","0.14","0.3","0.14","0","1"
"76","ExpM_cond76","100","0.39","0","0.14","0.3","0.14","0.14","1"
"77","ExpM_cond77","100","0.39","0","0.14","0.5","0","0","1"
"78","ExpM_cond78","100","0.39","0","0.14","0.5","0","0.14","1"
"79","ExpM_cond79","100","0.39","0","0.14","0.5","0.14","0","1"
"80","ExpM_cond80","100","0.39","0","0.14","0.5","0.14","0.14","1"
"81","ExpM_cond81","100","0.39","0","0.14","0.8","0","0","1"
"82","ExpM_cond82","100","0.39","0","0.14","0.8","0","0.14","1"
"83","ExpM_cond83","100","0.39","0","0.14","0.8","0.14","0","1"
"84","ExpM_cond84","100","0.39","0","0.14","0.8","0.14","0.14","1"
"85","ExpM_cond85","100","0.39","0.14","0.14","0.3","0","0","1"
"86","ExpM_cond86","100","0.39","0.14","0.14","0.3","0","0.14","1"
"87","ExpM_cond87","100","0.39","0.14","0.14","0.3","0.14","0","1"
"88","ExpM_cond88","100","0.39","0.14","0.14","0.3","0.14","0.14","1"
"89","ExpM_cond89","100","0.39","0.14","0.14","0.5","0","0","1"
"90","ExpM_cond90","100","0.39","0.14","0.14","0.5","0","0.14","1"
"91","ExpM_cond91","100","0.39","0.14","0.14","0.5","0.14","0","1"
"92","ExpM_cond92","100","0.39","0.14","0.14","0.5","0.14","0.14","1"
"93","ExpM_cond93","100","0.39","0.14","0.14","0.8","0","0","1"
"94","ExpM_cond94","100","0.39","0.14","0.14","0.8","0","0.14","1"
"95","ExpM_cond95","100","0.39","0.14","0.14","0.8","0.14","0","1"
"96","ExpM_cond96","100","0.39","0.14","0.14","0.8","0.14","0.14","1"
"97","ExpM_cond97","100","0.39","0.39","0.14","0.3","0","0","1"
"98","ExpM_cond98","100","0.39","0.39","0.14","0.3","0","0.14","1"
"99","ExpM_cond99","100","0.39","0.39","0.14","0.3","0.14","0","1"
"100","ExpM_cond100","100","0.39","0.39","0.14","0.3","0.14","0.14","1"
"101","ExpM_cond101","100","0.39","0.39","0.14","0.5","0","0","1"
"102","ExpM_cond102","100","0.39","0.39","0.14","0.5","0","0.14","1"
"103","ExpM_cond103","100","0.39","0.39","0.14","0.5","0.14","0","1"
"104","ExpM_cond104","100","0.39","0.39","0.14","0.5","0.14","0.14","1"
"105","ExpM_cond105","100","0.39","0.39","0.14","0.8","0","0","1"
"106","ExpM_cond106","100","0.39","0.39","0.14","0.8","0","0.14","1"
"107","ExpM_cond107","100","0.39","0.39","0.14","0.8","0.14","0","1"
"108","ExpM_cond108","100","0.39","0.39","0.14","0.8","0.14","0.14","1"
"109","ExpM_cond109","200","0","0","0.14","0.3","0","0","1"
"110","ExpM_cond110","200","0","0","0.14","0.3","0","0.14","1"
"111","ExpM_cond111","200","0","0","0.14","0.3","0.14","0","1"
"112","ExpM_cond112","200","0","0","0.14","0.3","0.14","0.14","1"
"113","ExpM_cond113","200","0","0","0.14","0.5","0","0","1"
"114","ExpM_cond114","200","0","0","0.14","0.5","0","0.14","1"
"115","ExpM_cond115","200","0","0","0.14","0.5","0.14","0","1"
"116","ExpM_cond116","200","0","0","0.14","0.5","0.14","0.14","1"
"117","ExpM_cond117","200","0","0","0.14","0.8","0","0","1"
"118","ExpM_cond118","200","0","0","0.14","0.8","0","0.14","1"
"119","ExpM_cond119","200","0","0","0.14","0.8","0.14","0","1"
"120","ExpM_cond120","200","0","0","0.14","0.8","0.14","0.14","1"
"121","ExpM_cond121","200","0","0.14","0.14","0.3","0","0","1"
"122","ExpM_cond122","200","0","0.14","0.14","0.3","0","0.14","1"
"123","ExpM_cond123","200","0","0.14","0.14","0.3","0.14","0","1"
"124","ExpM_cond124","200","0","0.14","0.14","0.3","0.14","0.14","1"
"125","ExpM_cond125","200","0","0.14","0.14","0.5","0","0","1"
"126","ExpM_cond126","200","0","0.14","0.14","0.5","0","0.14","1"
"127","ExpM_cond127","200","0","0.14","0.14","0.5","0.14","0","1"
"128","ExpM_cond128","200","0","0.14","0.14","0.5","0.14","0.14","1"
"129","ExpM_cond129","200","0","0.14","0.14","0.8","0","0","1"
